,code
56,"// C program to copy all the elements// of one array to another#include <stdio.h>  int main(){      int a[5] = { 3, 6, 9, 2, 5 }, n = 5;    int b[n], i;      // copying elements from one array to another    for (i = 0; i < n; i++) {        b[i] = a[i];    }    // displaying first array before    // copy the elements from    // one array to other    printf(""The first array is :"");    for (i = 0; i < n; i++) {        printf(""%d "", a[i]);    }    // displaying array after copy    // the elements from one    // array to other    printf(""\nThe second array is :"");    for (i = 0; i < n; i++) {        printf(""%d "", b[i]);    }    return 0;}"
57,"// C program to sort 2D array row-wise#include <stdio.h>  // This function sort 2D array row-wisevoid sortRowWise(int m[][4], int r, int c){    int t = 0;        // loop for rows of 2d array    for (int i = 0; i < r; i++) {                // loop for column of 2d array        for (int j = 0; j < c; j++) {                        // loop for comparison and swapping the elements            for (int k = 0; k < c - j - 1; k++) {                                if (m[i][k] > m[i][k + 1]) {                                        // swap the elements                    t = m[i][k];                    m[i][k] = m[i][k + 1];                    m[i][k + 1] = t;                }            }        }    }      // print the sorted matrix    printf(""\n Row-Wise Sorted 2D Array \n"");    for (int i = 0; i < r; i++) {        for (int j = 0; j < c; j++)            printf("" %d"", m[i][j]);        printf(""\n"");    }}  // Driver codeint main(){    // Input Array    int arr[][4] = { { 8, 5, 7, 2 },                     { 7, 3, 0, 1 },                     { 8, 5, 3, 2 },                     { 9, 4, 2, 1 } };      // print input array    printf(""\n Input Array \n"");    for (int i = 0; i < 4; i++) {        for (int j = 0; j < 4; j++) {            printf("" %d"", arr[i][j]);        }        printf(""\n"");    }      // sortRowWise(arr, 4, 4) accepts 2D-array, no of rows    // and columns as input and print a row-wise sorted 2D    // array    sortRowWise(arr, 4, 4);    return 0;}"
58,"// C Program to check if two matrices are equals or not#include <stdio.h>#define N 4 // Macros  // This function returns 1 if A[][] and B[][] are equal// otherwise it returns 0int areSame(int A[][N], int B[][N]){    int i, j;    for (i = 0; i < N; i++)        for (j = 0; j < N; j++)            if (A[i][j] != B[i][j])                return 0;    return 1;}  // driver codeint main(){      // create two matrices    int A[N][N] = { { 1, 2, 3, 4 },                    { 1, 2, 3, 4 },                    { 1, 2, 3, 4 },                    { 1, 2, 3, 4 } };      int B[N][N] = { { 1, 2, 3, 4 },                    { 1, 2, 3, 4 },                    { 1, 2, 3, 4 },                    { 1, 2, 3, 4 } };      // Display first matrix    printf(""\n First Matrix \n"");    for (int i = 0; i < N; i++) {        for (int j = 0; j < N; j++) {            printf("" %d"", A[i][j]);        }        printf(""\n"");    }      // Display second matrix    printf(""\n Second Matrix \n"");    for (int i = 0; i < N; i++) {        for (int j = 0; j < N; j++) {            printf("" %d"", B[i][j]);        }        printf(""\n"");    }      // check if Matrices are equals or not    // areSame(A, B) function accept two matrices as input    // and return 1 if matrices are equals otherwise return    // 0    if (areSame(A, B))        printf(""\n Matrices are equal"");    else        printf(""\n Matrices are not equal"");    return 0;}"
59,"// C Program to find// transpose of a matrix#include <stdio.h>#define N 4 // This function stores transpose of A[][] in B[][]void transpose(int A[][N], int B[][N]){    int i, j;    for (i = 0; i < N; i++)        for (j = 0; j < N; j++)            B[i][j] = A[j][i];} int main(){    int A[N][N] = { {1, 1, 1, 1},                    {2, 2, 2, 2},                    {3, 3, 3, 3},                    {4, 4, 4, 4}};     int B[N][N], i, j;     transpose(A, B);     printf(""Result matrix is \n"");    for (i = 0; i < N; i++)    {        for (j = 0; j < N; j++)        printf(""%d "", B[i][j]);        printf(""\n"");    }     return 0;}"
60,"// C program to find Determinant// of a matrix#include <stdio.h> // Dimension of input square matrix#define N 4 // Function to get cofactor of mat[p][q]// in temp[][]. n is current dimension// of mat[][]void getCofactor(int mat[N][N], int temp[N][N],                 int p, int q, int n){    int i = 0, j = 0;     // Looping for each element of the matrix    for (int row = 0; row < n; row++)    {        for (int col = 0; col < n; col++)        {            // Copying into temporary matrix            // only those element which are            // not in given row and column            if (row != p && col != q)            {                temp[i][j++] = mat[row][col];                 // Row is filled, so increase row                // index and reset col index                if (j == n - 1)                {                    j = 0;                    i++;                }            }        }    }} /* Recursive function for finding the   determinant of matrix. n is current   dimension of mat[][]. */int determinantOfMatrix(int mat[N][N], int n){    // Initialize result    int D = 0;     //  Base case : if matrix contains    // single element    if (n == 1)        return mat[0][0];     // To store cofactors    int temp[N][N];     // To store sign multiplier    int sign = 1;     // Iterate for each element of    // first row    for (int f = 0; f < n; f++)    {        // Getting Cofactor of mat[0][f]        getCofactor(mat, temp, 0, f, n);        D += sign * mat[0][f]             * determinantOfMatrix(temp, n - 1);         // Terms are to be added with alternate sign        sign = -sign;    }     return D;} // Function for displaying the matrixvoid display(int mat[N][N],             int row, int col){    for (int i = 0; i < row; i++)    {        for (int j = 0; j < col; j++)            printf(""  %d"", mat[i][j]);        printf(""n"");    }} // Driver codeint main(){    int mat[N][N] = {{1, 0, 2, -1},                     {3, 0, 0, 5},                     {2, 1, 4, -3},                      {1, 0, 5, 0}};     // Function call    printf(""Determinant of the matrix is : %d"",            determinantOfMatrix(mat, N));    return 0;}"
61,"// C program to find trace // and normal of given matrix#include <math.h>#include <stdio.h>  // Returns Normal of a matrix // of size n x nint findNormal(int mat[][3],                int n){    int sum = 0;        // Run nested loop to access     // elements of matrix    for (int i = 0; i < n; i++)        for (int j = 0; j < n; j++)            sum += mat[i][j] * mat[i][j];    return sqrt(sum);}  // Returns trace of a matrix of // size n x nint findTrace(int mat[][3], int n){    int sum = 0;        // Run a loop to access diagonal     // elements of matrix    for (int i = 0; i < n; i++)        sum += mat[i][i];    return sum;}  // Driven codeint main(){    int mat[3][3] = {{1, 2, 3},                      {4, 5, 6},                      {7, 8, 9}};    printf(""Normal of Matrix = %d"",             findNormal(mat, 3));    printf(""\nTrace of Matrix = %d"",             findTrace(mat, 3));    return 0;}"
62,"// C program to implement// the above approach#include <stdio.h>#define N 4  // This function adds A[][] and B[][], // and stores the result in C[][]void add(int A[][N], int B[][N],          int C[][N]){    int i, j;    for (i = 0; i < N; i++)        for (j = 0; j < N; j++)            C[i][j] = A[i][j] + B[i][j];}  // Driver codeint main(){    int A[N][N] = {{1, 1, 1, 1},                   {2, 2, 2, 2},                   {3, 3, 3, 3},                   {4, 4, 4, 4}};      int B[N][N] = {{1, 1, 1, 1},                   {2, 2, 2, 2},                   {3, 3, 3, 3},                   {4, 4, 4, 4}};      // To store result    int C[N][N];     int i, j;    add(A, B, C);      printf(""Result matrix is "");    for (i = 0; i < N; i++)    {        for (j = 0; j < N; j++)           printf(""%d "", C[i][j]);        printf("""");    }      return 0;}"
63,"// C program to multiply two square matrices.#include <stdio.h>#define N 4  // This function multiplies mat1[][] and mat2[][],// and stores the result in res[][]void multiply(int mat1[][N], int mat2[][N], int res[][N]){    int i, j, k;    for (i = 0; i < N; i++) {        for (j = 0; j < N; j++) {            res[i][j] = 0;            for (k = 0; k < N; k++)                res[i][j] += mat1[i][k] * mat2[k][j];        }    }}  int main(){    int mat1[N][N] = { { 1, 1, 1, 1 },                       { 2, 2, 2, 2 },                       { 3, 3, 3, 3 },                       { 4, 4, 4, 4 } };      int mat2[N][N] = { { 1, 1, 1, 1 },                       { 2, 2, 2, 2 },                       { 3, 3, 3, 3 },                       { 4, 4, 4, 4 } };      int res[N][N]; // To store result    int i, j;    multiply(mat1, mat2, res);      printf(""Result matrix is "");    for (i = 0; i < N; i++) {        for (j = 0; j < N; j++)            printf(""%d "", res[i][j]);        printf("""");    }      return 0;}"
64,"// C program to demonstrate the boundary// element of matrix#include <stdio.h> // This function is display the Boundary of matrixvoid printBoundary(int mat[][4], int m, int n){    printf(""\n Boundary of Matrix \n"");    for (int i = 0; i < m; i++) {        for (int j = 0; j < n; j++) {            if (i == 0 || j == 0 || i == n - 1                || j == n - 1)                printf("" %d"", mat[i][j]);            else                printf(""  "");        }        printf(""\n"");    }} // Driver codeint main(){    int mat[4][4] = { { 1, 2, 3, 4 },                      { 1, 2, 3, 4 },                      { 1, 2, 3, 4 },                      { 1, 2, 3, 4 } };     printf(""\n Input Matrix \n"");    for (int i = 0; i < 4; i++) {        for (int j = 0; j < 4; j++) {            printf("" %d"", mat[i][j]);        }        printf("" \n"");    }     // printBoundary(a, 4, 4) function accepts a matrix, no    // of rows and columns as input and display boundaries of    // matrix    printBoundary(mat, 4, 4);    return 0;}"
65,"// C program to demonstrate// rotation of a matrix elements#include <stdio.h>  #define R 4 // macros#define C 4 // macros  // function to rotate a matrix mat[][] of size m x n.// m = Row and n = Columnvoid rotatematrix(int m, int n, int mat[R][C]){    int row = 0, col = 0;    int prev, curr;    /*    row: Starting row index    m: ending row index    col: starting column index    n: ending column index    i: iterator    */      while (row < m && col < n) {          if (row + 1 == m || col + 1 == n)            break;          // Store the first element of next row and this        // element will replace the first element of current        // row        prev = mat[row + 1][col];          // Move elements of first row from remaining rows        for (int i = col; i < n; i++) {            curr = mat[row][i];            mat[row][i] = prev;            prev = curr;        }        row++;          // Move the elements of last column from the        // remaining columns        for (int i = row; i < m; i++) {            curr = mat[i][n - 1];            mat[i][n - 1] = prev;            prev = curr;        }        n--;          // Move the elements of last row from the remaining        // rows        if (row < m) {            for (int i = n - 1; i >= col; i--) {                curr = mat[m - 1][i];                mat[m - 1][i] = prev;                prev = curr;            }        }        m--;          // Move the elements of first column from the        // remaining rows        if (col < n) {            for (int i = m - 1; i >= row; i--) {                curr = mat[i][col];                mat[i][col] = prev;                prev = curr;            }        }        col++;    }}  // Driver codeint main(){    // create a matrix of size RxC    // R - Rows, C - Columns    int mat[R][C] = { { 1, 2, 3, 4 },                      { 5, 6, 7, 8 },                      { 9, 10, 11, 12 },                      { 13, 14, 15, 16 } };      // Print input matrix    printf(""\n Input Matrix \n"");    for (int i = 0; i < R; i++) {        for (int j = 0; j < C; j++) {            printf("" %d "", mat[i][j]);        }        printf(""\n"");    }      // This function is rotate the elements of matrix.    rotatematrix(R, C, mat);      // Print rotated matrix    printf(""\n Rotated Matrix \n"");    for (int i = 0; i < R; i++) {        for (int j = 0; j < C; j++) {            printf("" %d "", mat[i][j]);        }        printf(""\n"");    }      return 0;}"
66,"// C Program to demonstrate the// Sum of Diagonals of a Matrix#include <stdio.h>  int main(){      int i, j, m = 3, n = 3, a = 0, sum = 0;        // input matrix    int matrix[3][3]        = { { 1, 2, 3 }, { 4, 5, 6 }, { 7, 8, 9 } };        // if both rows and columns are equal then it is    // possible to calculate diagonal sum    if (m == n) {                // printing the input matrix        printf(""The matrix is \n"");                // iterates number of rows        for (i = 0; i < m; ++i) {                        // iterates number of columns            for (j = 0; j < n; ++j) {                printf("" %d"", matrix[i][j]);            }            printf(""\n"");        }        for (i = 0; i < m; ++i) {                        // calculating the main diagonal sum            sum = sum + matrix[i][i];                        // calculating the off diagonal sum            a = a + matrix[i][m - i - 1];        }                // printing the result        printf(""\nMain diagonal elements sum is = %d\n"", sum);        printf(""Off-diagonal elements sum is = %d\n"", a);    }    else        // if both rows and columns are not equal then it is        // not possible to calculate the sum        printf(""not a square matrix\n"");    return 0;}"
67,"// C program interchange the elements// of first and last in a matrix// across rows.#include <stdio.h> #define n 3 // Function to swap the element// of first and last rowvoid interchangeFirstLast(int m[][n]){    int rows = n;     // Swapping of element between first    // and last rows    for (int i = 0; i < n; i++)    {        int t = m[0][i];        m[0][i] = m[rows - 1][i];        m[rows - 1][i] = t;    }} // Driver codeint main(){    // Input matrix    int m[n][n] = {{6, 3, 1},                   {4, 5, 2},                   {2, 4, 9}};     // Printing the input matrix    printf(""Input Matrix: \n"");    for (int i = 0; i < n; i++)    {        for (int j = 0; j < n; j++)        {            printf(""%d "", m[i][j]);        }        printf(""\n"");    }     // call interchangeFirstLast(m) function.    // This function swap the element of    // first and last row    interchangeFirstLast(m);     // Printing the original matrix    printf(""\nOutput Matrix: \n"");    for (int i = 0; i < n; i++)    {        for (int j = 0; j < n; j++)        {            printf(""%d "", m[i][j]);        }        printf(""\n"");    }}"
68,"// C program to swap the element of first and last column of// the matrix and display the result#include <stdio.h>#define n 3 // macros  void interchangeFirstLast(int mat[][n]){    // swap the elements between first and last columns    for (int i = 0; i < n; i++) {        int t = mat[i][0];        mat[i][0] = mat[i][n - 1];        mat[i][n - 1] = t;    }}  // Driver codeint main(){    // input matrix    int mat[n][n]        = { { 2, 4, 6 }, { 8, 2, 3 }, { 1, 9, 4 } };      // print input matrix    printf(""Input Matrix: \n"");    for (int i = 0; i < n; i++) {        for (int j = 0; j < n; j++) {            printf(""%d "", mat[i][j]);        }        printf(""\n"");    }      // call interchangeFirstLast(mat) function.    // This function swap the element of first and last    // columns.      interchangeFirstLast(mat);      // print output matrix    printf(""Output Matrix: \n"");    for (int i = 0; i < n; i++) {        for (int j = 0; j < n; j++) {            printf(""%d "", mat[i][j]);        }        printf(""\n"");    }}"
69,"#include <iostream>#include <string> using namespace std; int main() {    string str1 = ""Geeks"";    string str2 = ""ForGeeks"";    string result = str1 + str2;    cout << result << endl;    return 0;}"
70,"// C Program to Add 2 Binary Strings// and Print their Binary Sum#include <stdio.h>#include <string.h> // Function to add two Binary Stringsvoid sum(char b1[], char b2[], int l1, int l2){    int carry = 0, temp, num1, num2, i;    char result[100];     result[l1 + 1] = '\0';     // This loop will add Both Strings till    // second have characters in it.    while (l2 > 0) {        num1 = b1[l1 - 1] - '0';        num2 = b2[l2 - 1] - '0';        temp = num1 + num2 + carry;        if (temp >= 2) {            carry = 1;            temp = temp % 2;        }        result[l1] = temp + '0';        l1--;        l2--;    }     // This loop will add leftover    // characters of first Strings.    while (l1 - 1 >= 0) {        temp = b1[l1 - 1] + carry - '0';        if (temp >= 2) {            carry = 1;            temp = temp % 2;        }        result[l1] = temp + '0';        l1--;    }     // Add last carry to result string    if (carry) {        result[0] = '1';    }    else {        // if there is no carry then we will shift        // each character by one place in left side.        for (i = 0; i < strlen(result) - 1; i++) {            result[i] = result[i + 1];        }        result[strlen(result) - 1] = '\0';    }     // printing result    printf(""%s + %s = %s\n"", b1, b2, result);} // Driver codeint main(){    char b1[100] = ""11"", b2[100] = ""11"";    int l1, l2;     printf(""Enter binary number 1: "");    printf(""%s \n"", b1);    printf(""Enter binary number 2: "");    printf(""%s \n"", b2);    l1 = strlen(b1);    l2 = strlen(b2);     // calling function to add strings    if (l1 > l2) {        sum(b1, b2, l1, l2);    }    else {        sum(b2, b1, l2, l1);    }     return 0;}"
71,"// Iterative C program to reverse an array#include<stdio.h>  /* Function to reverse arr[] from start to end*/void rvereseArray(int arr[], int start, int end){    int temp;    while (start < end)    {        temp = arr[start];           arr[start] = arr[end];        arr[end] = temp;        start++;        end--;    }   }       /* Utility that prints out an array on a line */void printArray(int arr[], int size){  int i;  for (i=0; i < size; i++)    printf(""%d "", arr[i]);    printf("""");}   /* Driver function to test above functions */int main() {    int arr[] = {1, 2, 3, 4, 5, 6};    int n = sizeof(arr) / sizeof(arr[0]);     printArray(arr, n);    rvereseArray(arr, 0, n-1);    printf(""Reversed array is "");    printArray(arr, n);        return 0;}"
72,"// C program to reverse a string using recursion# include <stdio.h>  /* Function to print reverse of the passed string */void reverse(char *str){   if (*str)   {       reverse(str+1);       printf(""%c"", *str);   }}  /* Driver program to test above function */int main(){   char a[] = ""Geeks for Geeks"";   reverse(a);   return 0;}"
73,"// C program to find the length of string#include <stdio.h>#include <string.h>  int main(){    char Str[1000];    int i;      printf(""Enter the String: "");    scanf(""%s"", Str);      for (i = 0; Str[i] != '\0'; ++i);      printf(""Length of Str is %d"", i);      return 0;}"
74,"// A C Program to check if the given// string is a pangram or not#include <stdbool.h>#include <stdio.h>#include <string.h>  // Returns true if the string is pangram else falsebool checkPangram(char str[]){    // Create a hash table to mark the characters    // present in the string    bool mark[26];    for (int i = 0; i < 26; i++)        mark[i] = false;      // For indexing in mark[]    int index;      // Traverse all characters    size_t size = strlen(str);    for (int i = 0; i < size; i++) {          // If uppercase character, subtract 'A'        // to find index.        if ('A' <= str[i] && str[i] <= 'Z')            index = str[i] - 'A';          // If lowercase character, subtract 'a'        // to find index.        else if ('a' <= str[i] && str[i] <= 'z')            index = str[i] - 'a';          // If this character is other than english        // lowercase and uppercase characters.        else            continue;          mark[index] = true;    }      // Return false if any character is unmarked    for (int i = 0; i <= 25; i++)        if (mark[i] == false)            return (false);      // If all characters were present    return (true);}  // Driver Program to test above functionsint main(){    char str[]        = ""The quick brown fox jumps over the lazy dog"";    if (checkPangram(str) == true)        printf("" %s is a pangram"", str);    else        printf("" %s is not a pangram"", str);    return (0);}  // This code is contributed by Aditya kumar (adityakumar129)"
75,"// C Program to demonstrate Printing// of the first letter of each word#include <stdio.h>#include <string.h>  int main(){    char str[] = ""GeeksforGeeks, A computer science portal ""                 ""for geeks"";    int i, j = 0;      // Traversing the Character array    for (i = 0; i < strlen(str); i++) {          // To store first character of        // String if it is not a        // whitespace.        if (i == 0 && str[i] != ' ') {            printf(""%c "", str[i]);        }        // To check whether Character        // is first character of        // word and if yes store it.        else if (i > 0 && str[i - 1] == ' ') {            printf(""%c "", str[i]);        }    }    return 0;}"
76,TypesStarting ValueEnding ValueUppercase Alphabets6590Lowercase Alphabets97122
77,"// C Program to Remove leading zeros// using for loop#include <stdio.h>#include <string.h>int main(){    // input    char a[1000] = ""0001234"";    int i, c = -1;        // finding the all leading zeroes from the given string    // and removing it from the string    for (i = 0; i < strlen(a); i++) {        if (a[i] != '0') {            c = i;            break;        }    }    // printing the string again after removing the all    // zeros    for (i = c; i < strlen(a); i++) {        printf(""%c"", a[i]);    }    return 0;}"
78,"// C program to compare the two strings// without using strcmp() function#include <stdio.h> // Function that compares the two stringvoid compareStrings(char* x, char* y){    int flag = 0;     // Iterate a loop till the end    // of both the strings    while (*x != '\0' || *y != '\0') {        if (*x == *y) {            x++;            y++;        }         // If two characters are not same        // print the difference and exit        else if ((*x == '\0' && *y != '\0')                 || (*x != '\0' && *y == '\0')                 || *x != *y) {            flag = 1;            printf(""Unequal Strings\n"");            break;        }    }     // If two strings are exactly same    if (flag == 0) {        printf(""Equal Strings\n"");    }} // Driver Codeint main(void){    // Given strings s1 and s2    char s1[20] = ""python"";    char s2[20] = ""dsa"";     // Function Call    compareStrings(s1, s2);    return 0;}"
79,"// C program to demonstrate arranging// strings lexicographically#include <stdio.h>  void compareStrings(char* s1, char* s2){    int i;    // comparing each character    for (i = 0; s1[i] != '\0' || s2[i] != '\0'; i++) {        if (s1[i] > s2[i]) {            printf(""String 1 is lexicographically greater ""                   ""than string 2"");            return;        }        else if (s2[i] > s1[i]) {            printf(""String 2 is lexicographically greater ""                   ""than string 1"");            return;        }    }    // comparing length of two strings    if (s1[i] != '\0') {        printf(""String 1 is lexicographically greater than ""               ""string 2"");    }    else if (s2[i] != '\0') {        printf(""String 2 is lexicographically greater than ""               ""string 1"");    }    else {        printf(""Both strings are lexicographically equal"");    }}int main(){      // declaring two strings    char s1[20] = ""help"";    char s2[20] = ""held"";      // function call    compareStrings(s1, s2);    return 0;}"
80,"#include <iostream>#include <string> using namespace std; int main() {    string str1 = ""Geeks"";    string str2 = ""ForGeeks"";    string result = str1 + str2;    cout << result << endl;    return 0;}"
81,"// C program for splitting a string// using strtok()#include <stdio.h>#include <string.h>  int main(){    char str[] = ""Geeks-for-Geeks"";      // Returns first token    char* token = strtok(str, ""-"");      // Keep printing tokens while one of the    // delimiters present in str[].    while (token != NULL) {        printf(""%s"", token);        token = strtok(NULL, ""-"");    }      return 0;}"
82,"// C program to convert decimal// number to octal number#include <stdio.h>  // function to convert decimal to octalvoid decToOctal(int n){      // array to store octal number    int octalNum[100];      // counter for octal number array    int i = 0;    while (n != 0) {          // storing remainder in octal array        octalNum[i] = n % 8;        n = n / 8;        i++;    }      // printing octal number array in reverse order    for (int j = i - 1; j >= 0; j--)        printf(""%d"", octalNum[j]);}  // Driver Codeint main(){    int n = 33;      // Function Call    decToOctal(n);      return 0;}"
83,"// C program to convert binary to decimal#include <stdio.h>  // Function to convert binary to decimalint binaryToDecimal(int n){    int num = n;    int dec_value = 0;      // Initializing base value to 1, i.e 2^0    int base = 1;      int temp = num;    while (temp) {        int last_digit = temp % 10;        temp = temp / 10;          dec_value += last_digit * base;          base = base * 2;    }      return dec_value;}  // Driver program to test above functionint main(){    int num = 10101001;      printf(""%d"", binaryToDecimal(num));}"
84,"// C program for the above approach#include <stdio.h>#include <stdlib.h>  // Function to find the largest element// using dynamic memory allocationvoid findLargest(int* arr, int N){    int i;      // Traverse the array arr[]    for (i = 1; i < N; i++) {          // Update the largest element        if (*arr < *(arr + i)) {            *arr = *(arr + i);        }    }      // Print the largest number    printf(""%d "", *arr);}  // Driver Codeint main(){    int i, N = 4;      int* arr;      // Memory allocation to arr    arr = (int*)calloc(N, sizeof(int));      // Condition for no memory    // allocation    if (arr == NULL) {        printf(""No memory allocated"");        exit(0);    }      // Store the elements    *(arr + 0) = 14;    *(arr + 1) = 12;    *(arr + 2) = 19;    *(arr + 3) = 20;      // Function Call    findLargest(arr, N);    return 0;}"
85,"#include <stdio.h>   // Function to sort the numbers using pointers void sort(int n, int* ptr) {     int i, j, t;       // Sort the numbers using pointers     for (i = 0; i < n; i++) {           for (j = i + 1; j < n; j++) {               if (*(ptr + j) < *(ptr + i)) {                   t = *(ptr + i);                 *(ptr + i) = *(ptr + j);                 *(ptr + j) = t;             }         }     }       // print the numbers     for (i = 0; i < n; i++)         printf(""%d "", *(ptr + i)); }   // Driver code int main() {     int n = 5;     int arr[] = { 0, 23, 14, 12, 9 };       sort(n, arr);       return 0; } "
86,"// C program for the above approach#include <stdio.h>#include <stdlib.h>  // Node for linked liststruct Node {    int data;    struct Node* next;};  // Function to print given linked listvoid printList(struct Node* head){    struct Node* ptr = head;    while (ptr) {          printf(""%d -> "", ptr->data);        ptr = ptr->next;    }      printf(""NULL"");}  // Function to create a new nodevoid insert(struct Node** head_ref, int data){    // Allocate the memory for new Node    // in the heap and set its data    struct Node* newNode        = (struct Node*)malloc(            sizeof(struct Node));      newNode->data = data;      // Set the next node pointer of the    // new Node to point to the current    // node of the list    newNode->next = *head_ref;      // Change the pointer of head to point    // to the new Node    *head_ref = newNode;}  // Function to create a copy of a linked liststruct Node* copyList(struct Node* head){    if (head == NULL) {        return NULL;    }    else {          // Allocate the memory for new Node        // in the heap and set its data        struct Node* newNode            = (struct Node*)malloc(                sizeof(struct Node));          newNode->data = head->data;          // Recursively set the next pointer of        // the new Node by recurring for the        // remaining nodes        newNode->next = copyList(head->next);          return newNode;    }}  // Function to create the new linked liststruct Node* create(int arr[], int N){    // Pointer to point the head node    // of the singly linked list    struct Node* head_ref = NULL;      // Construct the linked list    for (int i = N - 1; i >= 0; i--) {          insert(&head_ref, arr[i]);    }      // Return the head pointer    return head_ref;}  // Function to create both the listsvoid printLists(struct Node* head_ref,                struct Node* dup){      printf(""Original list: "");      // Print the original linked list    printList(head_ref);      printf(""\nDuplicate list: "");      // Print the duplicate linked list    printList(dup);}  // Driver Codeint main(void){    // Given nodes value    int arr[] = { 1, 2, 3, 4, 5 };    int N = sizeof(arr) / sizeof(arr[0]);      // Head of the original Linked list    struct Node* head_ref = create(arr, N);      // Head of the duplicate Linked List    struct Node* dup = copyList(head_ref);      printLists(head_ref, dup);      return 0;}"
87,"// C Program to Store Information// of Students Using Structure  #include <stdio.h>#include <stdlib.h>#include <string.h>  // Create the student structurestruct Student {    char* name;    int roll_number;    int age;    double total_marks;};  // Driver codeint main(){    int i = 0, n = 5;      // Create the student's structure variable    // with n Student's records    struct Student student[n];      // Get the students data    student[0].roll_number = 1;    student[0].name = ""Geeks1"";    student[0].age = 12;    student[0].total_marks = 78.50;      student[1].roll_number = 5;    student[1].name = ""Geeks5"";    student[1].age = 10;    student[1].total_marks = 56.84;      student[2].roll_number = 2;    student[2].name = ""Geeks2"";    student[2].age = 11;    student[2].total_marks = 87.94;      student[3].roll_number = 4;    student[3].name = ""Geeks4"";    student[3].age = 12;    student[3].total_marks = 89.78;      student[4].roll_number = 3;    student[4].name = ""Geeks3"";    student[4].age = 13;    student[4].total_marks = 78.55;      // Print the Students information    printf(""Student Records:\n\n"");    for (i = 0; i < n; i++) {        printf(""\tName = %s\n"", student[i].name);        printf(""\tRoll Number = %d\n"", student[i].roll_number);        printf(""\tAge = %d\n"", student[i].age);        printf(""\tTotal Marks = %0.2f\n\n"", student[i].total_marks);    }      return 0;}"
88,"// C program to read Student records// like id, name and age,// and display them in sorted order by Name  #include <stdio.h>#include <stdlib.h>#include <string.h>  // struct person with 3 fieldsstruct Student {    char* name;    int id;    char age;};  // setting up rules for comparison// to sort the students based on namesint comparator(const void* p, const void* q){    return strcmp(((struct Student*)p)->name,                  ((struct Student*)q)->name);}  // Driver programint main(){    int i = 0, n = 5;      struct Student arr[n];      // Get the students data    arr[0].id = 1;    arr[0].name = ""bd"";    arr[0].age = 12;      arr[1].id = 2;    arr[1].name = ""ba"";    arr[1].age = 10;      arr[2].id = 3;    arr[2].name = ""bc"";    arr[2].age = 8;      arr[3].id = 4;    arr[3].name = ""aaz"";    arr[3].age = 9;      arr[4].id = 5;    arr[4].name = ""az"";    arr[4].age = 10;      // Print the Unsorted Structure    printf(""Unsorted Student Records:\n"");    for (i = 0; i < n; i++) {        printf(""Id = %d, Name = %s, Age = %d \n"",               arr[i].id, arr[i].name, arr[i].age);    }    // Sort the structure    // based on the specified comparator    qsort(arr, n, sizeof(struct Student), comparator);      // Print the Sorted Structure    printf(""\n\nStudent Records sorted by Name:\n"");    for (i = 0; i < n; i++) {        printf(""Id = %d, Name = %s, Age = %d \n"",               arr[i].id, arr[i].name, arr[i].age);    }      return 0;}"
89,"// C program for the above approach  #include ""stdio.h""  // Struct defined for the inch-feet systemstruct InchFeet {      // Variable to store the inch-feet    int feet;    float inch;};  // Function to find the sum of all N// set of Inch Feet distancesvoid findSum(struct InchFeet arr[], int N){      // Variable to store sum    int feet_sum = 0;    float inch_sum = 0.0;      int x;      // Traverse the InchFeet array    for (int i = 0; i < N; i++) {          // Find the total sum of        // feet and inch        feet_sum += arr[i].feet;        inch_sum += arr[i].inch;    }      // If inch sum is greater than 11    // convert it into feet    // as 1 feet = 12 inch    if (inch_sum >= 12) {          // Find integral part of inch_sum        x = (int)inch_sum;          // Delete the integral part x        inch_sum -= x;          // Add x%12 to inch_sum        inch_sum += x % 12;          // Add x/12 to feet_sum        feet_sum += x / 12;    }      // Print the corresponding sum of    // feet_sum and inch_sum    printf(""Feet Sum: %d"", feet_sum);    printf(""Inch Sum: %.2f"", inch_sum);}  // Driver Codeint main(){      // Given set of inch-feet    struct InchFeet arr[]        = { { 10, 3.7 },            { 10, 5.5 },            { 6, 8.0 } };      int N = sizeof(arr) / sizeof(arr[0]);      // Function Call    findSum(arr, N);      return 0;}"
90,"// C program to demonstrate// addition of complex numbers#include <stdio.h> // define a structure for complex numbertypedef struct complexNumber {    int real;    int img;} complex; // complex add(complex x, complex y) function C Program to// Add Two Complex numbers. This function accepts two// complex type numbers as parameter as return addition of// them.complex add(complex x, complex y); // driver codeint main(){     // define three complex type numbers    complex a, b, sum;     // first complex number    a.real = 2;    a.img = 3;     // second complex number    b.real = 4;    b.img = 5;     // print first complex number    printf(""\n a = %d + %di"", a.real, a.img);     // print second complex number    printf(""\n b = %d + %di"", b.real, b.img);     // call add(a,b) function and    // pass complex numbers a & b    // as an parameter.    sum = add(a, b);     // print result    printf(""\n sum = %d + %di"", sum.real, sum.img);     return 0;} // complex add(complex x, complex y)// function definitioncomplex add(complex x, complex y){     // define a new complex number.    complex add;     // add real part of a&b    add.real = x.real + y.real;     // add Imaginary part of a&b    add.img = x.img + y.img;     // return add    return (add);}"
